State,Year,Month,Day,Rainfall (mm)
Johor,2014,1,1,0.19
Johor,2014,1,2,1.73
Johor,2014,1,3,2.20
Johor,2014,1,4,1.27
Johor,2014,1,5,0.85
Johor,2014,1,6,3.63
Johor,2014,1,7,0.87
Johor,2014,1,8,3.49
Johor,2014,1,9,2.28
Johor,2014,1,10,2.05
Johor,2014,1,11,0.67
Johor,2014,1,12,1.25
Johor,2014,1,13,4.06
Johor,2014,1,14,15.80
Johor,2014,1,15,13.45
Johor,2014,1,16,4.46
Johor,2014,1,17,1.27
Johor,2014,1,18,0.56
Johor,2014,1,19,0.19
Johor,2014,1,20,0.14
Johor,2014,1,21,0.06
Johor,2014,1,22,0.03
Johor,2014,1,23,0.04
Johor,2014,1,24,2.09
Johor,2014,1,25,7.52
Johor,2014,1,26,5.13
Johor,2014,1,27,0.80
Johor,2014,1,28,1.21
Johor,2014,1,29,1.25
Johor,2014,1,30,0.55
Johor,2014,1,31,2.26
Johor,2014,2,1,2.51
Johor,2014,2,2,1.89
Johor,2014,2,3,1.31
Johor,2014,2,4,0.59
Johor,2014,2,5,0.58
Johor,2014,2,6,0.25
Johor,2014,2,7,0.15
Johor,2014,2,8,0.17
Johor,2014,2,9,0.68
Johor,2014,2,10,0.53
Johor,2014,2,11,1.84
Johor,2014,2,12,1.32
Johor,2014,2,13,0.54
Johor,2014,2,14,5.85
Johor,2014,2,15,11.11
Johor,2014,2,16,9.60
Johor,2014,2,17,7.52
Johor,2014,2,18,2.72
Johor,2014,2,19,1.29
Johor,2014,2,20,0.12
Johor,2014,2,21,0.04
Johor,2014,2,22,0.03
Johor,2014,2,23,1.27
Johor,2014,2,24,1.90
Johor,2014,2,25,0.32
Johor,2014,2,26,1.20
Johor,2014,2,27,0.05
Johor,2014,2,28,0.43
Johor,2014,3,1,0.65
Johor,2014,3,2,2.45
Johor,2014,3,3,0.88
Johor,2014,3,4,0.57
Johor,2014,3,5,1.38
Johor,2014,3,6,0.59
Johor,2014,3,7,0.06
Johor,2014,3,8,0.04
Johor,2014,3,9,0.01
Johor,2014,3,10,0.01
Johor,2014,3,11,0.12
Johor,2014,3,12,0.67
Johor,2014,3,13,1.17
Johor,2014,3,14,5.68
Johor,2014,3,15,5.05
Johor,2014,3,16,8.07
Johor,2014,3,17,4.95
Johor,2014,3,18,2.23
Johor,2014,3,19,0.57
Johor,2014,3,20,0.13
Johor,2014,3,21,0.04
Johor,2014,3,22,0.10
Johor,2014,3,23,0.61
Johor,2014,3,24,2.08
Johor,2014,3,25,1.68
Johor,2014,3,26,0.77
Johor,2014,3,27,0.12
Johor,2014,3,28,0.64
Johor,2014,3,29,0.28
Johor,2014,3,30,0.37
Johor,2014,3,31,2.41
Johor,2014,4,1,0.90
Johor,2014,4,2,0.03
Johor,2014,4,3,0.03
Johor,2014,4,4,0.04
Johor,2014,4,5,0.14
Johor,2014,4,6,0.07
Johor,2014,4,7,0.00
Johor,2014,4,8,0.01
Johor,2014,4,9,0.00
Johor,2014,4,10,0.00
Johor,2014,4,11,0.00
Johor,2014,4,12,0.00
Johor,2014,4,13,0.00
Johor,2014,4,14,0.00
Johor,2014,4,15,0.00
Johor,2014,4,16,0.01
Johor,2014,4,17,0.02
Johor,2014,4,18,0.03
Johor,2014,4,19,0.00
Johor,2014,4,20,0.00
Johor,2014,4,21,0.00
Johor,2014,4,22,0.01
Johor,2014,4,23,0.03
Johor,2014,4,24,0.00
Johor,2014,4,25,0.00
Johor,2014,4,26,0.00
Johor,2014,4,27,0.01
Johor,2014,4,28,0.00
Johor,2014,4,29,0.01
Johor,2014,4,30,0.00
Johor,2014,5,1,0.00
Johor,2014,5,2,0.00
Johor,2014,5,3,0.00
Johor,2014,5,4,0.00
Johor,2014,5,5,0.00
Johor,2014,5,6,0.01
Johor,2014,5,7,0.05
Johor,2014,5,8,0.03
Johor,2014,5,9,0.01
Johor,2014,5,10,0.04
Johor,2014,5,11,0.02
Johor,2014,5,12,0.01
Johor,2014,5,13,0.00
Johor,2014,5,14,0.01
Johor,2014,5,15,0.00
Johor,2014,5,16,0.03
Johor,2014,5,17,0.11
Johor,2014,5,18,0.30
Johor,2014,5,19,0.10
Johor,2014,5,20,0.00
Johor,2014,5,21,0.00
Johor,2014,5,22,0.00
Johor,2014,5,23,0.00
Johor,2014,5,24,0.00
Johor,2014,5,25,0.00
Johor,2014,5,26,0.00
Johor,2014,5,27,0.00
Johor,2014,5,28,0.07
Johor,2014,5,29,0.27
Johor,2014,5,30,0.33
Johor,2014,5,31,1.53
Johor,2014,6,1,5.18
Johor,2014,6,2,0.09
Johor,2014,6,3,0.00
Johor,2014,6,4,0.00
Johor,2014,6,5,0.01
Johor,2014,6,6,0.48
Johor,2014,6,7,0.01
Johor,2014,6,8,0.43
Johor,2014,6,9,1.12
Johor,2014,6,10,0.10
Johor,2014,6,11,0.00
Johor,2014,6,12,0.00
Johor,2014,6,13,0.00
Johor,2014,6,14,0.00
Johor,2014,6,15,0.00
Johor,2014,6,16,0.00
Johor,2014,6,17,0.04
Johor,2014,6,18,0.00
Johor,2014,6,19,0.00
Johor,2014,6,20,0.00
Johor,2014,6,21,0.02
Johor,2014,6,22,0.11
Johor,2014,6,23,0.32
Johor,2014,6,24,0.00
Johor,2014,6,25,0.00
Johor,2014,6,26,0.00
Johor,2014,6,27,0.00
Johor,2014,6,28,0.00
Johor,2014,6,29,0.00
Johor,2014,6,30,0.03
Johor,2014,7,1,4.53
Johor,2014,7,2,0.02
Johor,2014,7,3,0.00
Johor,2014,7,4,3.31
Johor,2014,7,5,0.61
Johor,2014,7,6,0.00
Johor,2014,7,7,0.00
Johor,2014,7,8,0.00
Johor,2014,7,9,0.00
Johor,2014,7,10,0.00
Johor,2014,7,11,0.54
Johor,2014,7,12,0.00
Johor,2014,7,13,0.00
Johor,2014,7,14,0.00
Johor,2014,7,15,0.00
Johor,2014,7,16,0.00
Johor,2014,7,17,0.00
Johor,2014,7,18,0.00
Johor,2014,7,19,0.00
Johor,2014,7,20,0.00
Johor,2014,7,21,0.00
Johor,2014,7,22,0.00
Johor,2014,7,23,0.00
Johor,2014,7,24,0.00
Johor,2014,7,25,0.10
Johor,2014,7,26,0.07
Johor,2014,7,27,0.22
Johor,2014,7,28,0.00
Johor,2014,7,29,0.00
Johor,2014,7,30,0.00
Johor,2014,7,31,0.04
Johor,2014,8,1,0.12
Johor,2014,8,2,0.65
Johor,2014,8,3,4.57
Johor,2014,8,4,0.60
Johor,2014,8,5,0.22
Johor,2014,8,6,0.00
Johor,2014,8,7,0.00
Johor,2014,8,8,0.00
Johor,2014,8,9,0.00
Johor,2014,8,10,0.01
Johor,2014,8,11,0.00
Johor,2014,8,12,0.00
Johor,2014,8,13,0.00
Johor,2014,8,14,0.00
Johor,2014,8,15,0.00
Johor,2014,8,16,0.04
Johor,2014,8,17,0.00
Johor,2014,8,18,0.00
Johor,2014,8,19,0.00
Johor,2014,8,20,0.00
Johor,2014,8,21,0.00
Johor,2014,8,22,1.16
Johor,2014,8,23,4.73
Johor,2014,8,24,0.26
Johor,2014,8,25,0.13
Johor,2014,8,26,1.23
Johor,2014,8,27,0.58
Johor,2014,8,28,1.62
Johor,2014,8,29,0.04
Johor,2014,8,30,0.00
Johor,2014,8,31,0.00
Johor,2014,9,1,0.00
Johor,2014,9,2,0.04
Johor,2014,9,3,0.10
Johor,2014,9,4,0.00
Johor,2014,9,5,0.00
Johor,2014,9,6,0.00
Johor,2014,9,7,0.00
Johor,2014,9,8,0.01
Johor,2014,9,9,0.49
Johor,2014,9,10,0.69
Johor,2014,9,11,6.02
Johor,2014,9,12,0.26
Johor,2014,9,13,0.00
Johor,2014,9,14,0.00
Johor,2014,9,15,0.00
Johor,2014,9,16,0.00
Johor,2014,9,17,0.37
Johor,2014,9,18,1.48
Johor,2014,9,19,0.01
Johor,2014,9,20,14.38
Johor,2014,9,21,2.47
Johor,2014,9,22,0.00
Johor,2014,9,23,0.00
Johor,2014,9,24,0.00
Johor,2014,9,25,0.35
Johor,2014,9,26,4.11
Johor,2014,9,27,7.96
Johor,2014,9,28,11.72
Johor,2014,9,29,2.71
Johor,2014,9,30,2.08
Johor,2014,10,1,0.02
Johor,2014,10,2,0.98
Johor,2014,10,3,3.92
Johor,2014,10,4,1.89
Johor,2014,10,5,0.55
Johor,2014,10,6,0.01
Johor,2014,10,7,0.43
Johor,2014,10,8,2.12
Johor,2014,10,9,1.25
Johor,2014,10,10,0.05
Johor,2014,10,11,0.00
Johor,2014,10,12,0.00
Johor,2014,10,13,0.16
Johor,2014,10,14,7.08
Johor,2014,10,15,14.25
Johor,2014,10,16,1.05
Johor,2014,10,17,0.14
Johor,2014,10,18,3.18
Johor,2014,10,19,19.16
Johor,2014,10,20,6.76
Johor,2014,10,21,0.38
Johor,2014,10,22,2.06
Johor,2014,10,23,1.56
Johor,2014,10,24,0.11
Johor,2014,10,25,1.29
Johor,2014,10,26,4.15
Johor,2014,10,27,1.13
Johor,2014,10,28,1.74
Johor,2014,10,29,0.87
Johor,2014,10,30,2.12
Johor,2014,10,31,15.06
Johor,2014,11,1,9.11
Johor,2014,11,2,2.13
Johor,2014,11,3,49.94
Johor,2014,11,4,23.47
Johor,2014,11,5,8.63
Johor,2014,11,6,0.75
Johor,2014,11,7,0.03
Johor,2014,11,8,0.00
Johor,2014,11,9,2.51
Johor,2014,11,10,20.75
Johor,2014,11,11,5.10
Johor,2014,11,12,1.40
Johor,2014,11,13,0.12
Johor,2014,11,14,0.06
Johor,2014,11,15,0.36
Johor,2014,11,16,0.57
Johor,2014,11,17,0.21
Johor,2014,11,18,1.13
Johor,2014,11,19,5.08
Johor,2014,11,20,3.48
Johor,2014,11,21,1.46
Johor,2014,11,22,0.71
Johor,2014,11,23,1.69
Johor,2014,11,24,2.03
Johor,2014,11,25,1.83
Johor,2014,11,26,3.38
Johor,2014,11,27,0.39
Johor,2014,11,28,0.21
Johor,2014,11,29,9.19
Johor,2014,11,30,10.64
Johor,2014,12,1,5.41
Johor,2014,12,2,13.13
Johor,2014,12,3,19.20
