State,Year,Month,Day,Rainfall (mm)
Johor,2014,1,1,5.74
Johor,2014,1,2,7.47
Johor,2014,1,3,14.33
Johor,2014,1,4,32.75
Johor,2014,1,5,21.56
Johor,2014,1,6,9.99
Johor,2014,1,7,8.30
Johor,2014,1,8,11.39
Johor,2014,1,9,7.66
Johor,2014,1,10,9.83
Johor,2014,1,11,8.77
Johor,2014,1,12,7.33
Johor,2014,1,13,3.75
Johor,2014,1,14,2.33
Johor,2014,1,15,4.11
Johor,2014,1,16,3.88
Johor,2014,1,17,3.24
Johor,2014,1,18,0.55
Johor,2014,1,19,0.26
Johor,2014,1,20,0.36
Johor,2014,1,21,0.10
Johor,2014,1,22,0.30
Johor,2014,1,23,0.46
Johor,2014,1,24,0.97
Johor,2014,1,25,1.19
Johor,2014,1,26,0.68
Johor,2014,1,27,0.75
Johor,2014,1,28,2.46
Johor,2014,1,29,3.37
Johor,2014,1,30,4.19
Johor,2014,1,31,3.17
Johor,2014,2,1,1.55
Johor,2014,2,2,0.88
Johor,2014,2,3,1.23
Johor,2014,2,4,1.24
Johor,2014,2,5,0.82
Johor,2014,2,6,1.41
Johor,2014,2,7,2.72
Johor,2014,2,8,1.78
Johor,2014,2,9,2.67
Johor,2014,2,10,4.07
Johor,2014,2,11,2.01
Johor,2014,2,12,4.80
Johor,2014,2,13,3.64
Johor,2014,2,14,1.46
Johor,2014,2,15,3.57
Johor,2014,2,16,3.27
Johor,2014,2,17,0.90
Johor,2014,2,18,0.68
Johor,2014,2,19,0.86
Johor,2014,2,20,1.18
Johor,2014,2,21,2.51
Johor,2014,2,22,0.75
Johor,2014,2,23,0.93
Johor,2014,2,24,1.97
Johor,2014,2,25,2.16
Johor,2014,2,26,1.38
Johor,2014,2,27,0.77
Johor,2014,2,28,0.35
Johor,2014,3,1,0.62
Johor,2014,3,2,1.02
Johor,2014,3,3,1.65
Johor,2014,3,4,1.05
Johor,2014,3,5,0.75
Johor,2014,3,6,0.82
Johor,2014,3,7,0.51
Johor,2014,3,8,1.08
Johor,2014,3,9,1.70
Johor,2014,3,10,2.41
Johor,2014,3,11,3.68
Johor,2014,3,12,0.95
Johor,2014,3,13,1.24
Johor,2014,3,14,1.36
Johor,2014,3,15,1.18
Johor,2014,3,16,2.01
Johor,2014,3,17,1.11
Johor,2014,3,18,0.65
Johor,2014,3,19,0.39
Johor,2014,3,20,2.52
Johor,2014,3,21,3.71
Johor,2014,3,22,4.40
Johor,2014,3,23,4.48
Johor,2014,3,24,3.32
Johor,2014,3,25,2.63
Johor,2014,3,26,6.49
Johor,2014,3,27,8.91
Johor,2014,3,28,6.96
Johor,2014,3,29,3.95
Johor,2014,3,30,0.81
Johor,2014,3,31,1.90
Johor,2014,4,1,2.66
Johor,2014,4,2,1.55
Johor,2014,4,3,1.37
Johor,2014,4,4,1.53
Johor,2014,4,5,1.54
Johor,2014,4,6,0.48
Johor,2014,4,7,8.31
Johor,2014,4,8,7.45
Johor,2014,4,9,4.06
Johor,2014,4,10,2.87
Johor,2014,4,11,2.85
Johor,2014,4,12,9.13
Johor,2014,4,13,7.84
Johor,2014,4,14,5.34
Johor,2014,4,15,9.12
Johor,2014,4,16,8.32
Johor,2014,4,17,7.95
Johor,2014,4,18,11.41
Johor,2014,4,19,1.72
Johor,2014,4,20,2.47
Johor,2014,4,21,4.53
Johor,2014,4,22,3.21
Johor,2014,4,23,3.67
Johor,2014,4,24,6.98
Johor,2014,4,25,10.23
Johor,2014,4,26,1.53
Johor,2014,4,27,4.06
Johor,2014,4,28,7.72
Johor,2014,4,29,8.41
Johor,2014,4,30,9.44
Johor,2014,5,1,14.84
Johor,2014,5,2,11.07
Johor,2014,5,3,4.81
Johor,2014,5,4,2.70
Johor,2014,5,5,3.23
Johor,2014,5,6,4.73
Johor,2014,5,7,4.60
Johor,2014,5,8,2.70
Johor,2014,5,9,2.28
Johor,2014,5,10,1.81
Johor,2014,5,11,6.06
Johor,2014,5,12,10.30
Johor,2014,5,13,14.49
Johor,2014,5,14,9.38
Johor,2014,5,15,4.63
Johor,2014,5,16,3.84
Johor,2014,5,17,5.84
Johor,2014,5,18,2.14
Johor,2014,5,19,4.42
Johor,2014,5,20,1.74
Johor,2014,5,21,5.85
Johor,2014,5,22,3.81
Johor,2014,5,23,5.78
Johor,2014,5,24,6.49
Johor,2014,5,25,2.05
Johor,2014,5,26,3.98
Johor,2014,5,27,9.93
Johor,2014,5,28,3.75
Johor,2014,5,29,1.58
Johor,2014,5,30,3.12
Johor,2014,5,31,3.47
Johor,2014,6,1,2.68
Johor,2014,6,2,2.04
Johor,2014,6,3,1.93
Johor,2014,6,4,2.80
Johor,2014,6,5,2.87
Johor,2014,6,6,2.99
Johor,2014,6,7,3.77
Johor,2014,6,8,2.56
Johor,2014,6,9,4.69
Johor,2014,6,10,2.40
Johor,2014,6,11,1.02
Johor,2014,6,12,0.89
Johor,2014,6,13,2.28
Johor,2014,6,14,3.89
Johor,2014,6,15,5.23
Johor,2014,6,16,9.97
Johor,2014,6,17,11.23
Johor,2014,6,18,11.29
Johor,2014,6,19,7.32
Johor,2014,6,20,1.45
Johor,2014,6,21,1.15
Johor,2014,6,22,1.80
Johor,2014,6,23,1.52
Johor,2014,6,24,1.41
Johor,2014,6,25,0.95
Johor,2014,6,26,4.44
Johor,2014,6,27,2.52
Johor,2014,6,28,4.23
Johor,2014,6,29,3.29
Johor,2014,6,30,7.17
Johor,2014,7,1,3.64
Johor,2014,7,2,2.51
Johor,2014,7,3,2.70
Johor,2014,7,4,4.12
Johor,2014,7,5,3.16
Johor,2014,7,6,0.66
Johor,2014,7,7,1.41
Johor,2014,7,8,2.73
Johor,2014,7,9,2.30
Johor,2014,7,10,2.92
Johor,2014,7,11,4.33
Johor,2014,7,12,2.44
Johor,2014,7,13,4.41
Johor,2014,7,14,5.66
Johor,2014,7,15,2.35
Johor,2014,7,16,6.81
Johor,2014,7,17,6.90
Johor,2014,7,18,4.90
Johor,2014,7,19,2.75
Johor,2014,7,20,2.91
Johor,2014,7,21,2.33
Johor,2014,7,22,1.28
Johor,2014,7,23,1.84
Johor,2014,7,24,2.72
Johor,2014,7,25,4.73
Johor,2014,7,26,10.09
Johor,2014,7,27,4.19
Johor,2014,7,28,3.46
Johor,2014,7,29,2.97
Johor,2014,7,30,2.95
